periodo,materia,prova,notas
2,calculo-1,1,3.5
2,calculo-1,1,0.5
2,calculo-1,1,9.5
2,calculo-1,1,8.7
2,calculo-1,1,0
2,calculo-1,1,0.5
2,calculo-1,1,0
2,calculo-1,1,9.5
2,calculo-1,1,0.5
2,calculo-1,1,1
2,calculo-1,1,0
2,calculo-1,1,4.5
2,calculo-1,1,2
2,calculo-1,1,2.5
2,calculo-1,1,0.5
2,calculo-1,1,0
2,calculo-1,1,7.2
2,calculo-1,1,2
2,calculo-1,1,6
2,calculo-1,1,4
2,calculo-1,1,0
2,calculo-1,1,0.5
2,calculo-1,1,6
2,calculo-1,1,4.7
2,calculo-1,1,1
2,calculo-1,1,9
2,calculo-1,1,3
2,calculo-1,1,7.5
2,calculo-1,1,0
2,calculo-1,1,2
2,calculo-1,1,0.5
2,calculo-1,1,0
2,calculo-1,1,3.5
2,calculo-1,1,1
2,calculo-1,1,0.5
2,calculo-1,1,9
2,calculo-1,1,0.5
2,calculo-1,1,0.5
1,matriz,final,5.4
1,matriz,final,4.8
1,matriz,final,4.6
1,matriz,final,9.7
1,matriz,final,7.7
1,matriz,final,5.7
1,matriz,final,8.3
1,matriz,final,5.7
1,matriz,final,2.3
1,matriz,final,8
1,matriz,final,3.3
1,matriz,final,4.4
1,matriz,final,6.2
1,matriz,final,3.7
1,matriz,final,5.7
1,matriz,final,6.1
1,matriz,final,7.2
1,matriz,final,2.9
1,matriz,final,2.2
1,matriz,final,6.1
1,matriz,final,1.4
1,matriz,final,4.5
1,matriz,final,7.8
1,matriz,final,7.3
1,matriz,final,4.7
1,matriz,final,7.9
1,matriz,final,5.3
1,matriz,final,9.6
1,matriz,final,6.3
1,matriz,final,2.2
1,matriz,final,2.5
1,matriz,final,0.3
1,matriz,final,5
1,matriz,final,2.6
1,matriz,final,8.4
1,matriz,final,6.4
1,matriz,final,3.1
2,calculo-1,2,0.5
2,calculo-1,2,1
2,calculo-1,2,7.6
2,calculo-1,2,7.5
2,calculo-1,2,1.5
2,calculo-1,2,6.2
2,calculo-1,2,0.5
2,calculo-1,2,4.5
2,calculo-1,2,0
2,calculo-1,2,5.3
2,calculo-1,2,0
2,calculo-1,2,2.1
2,calculo-1,2,3.8
2,calculo-1,2,0
2,calculo-1,2,4
2,calculo-1,2,4
2,calculo-1,2,1
2,calculo-1,2,4.2
2,calculo-1,2,2.5
2,calculo-1,2,0.5
2,calculo-1,2,9.5
2,calculo-1,2,0.5
2,calculo-1,2,6.5
2,calculo-1,2,3.5
2,calculo-1,2,3.5
2,calculo-1,2,4
2,calculo-1,2,10
2,calculo-1,2,3
2,calculo-1,2,1
1,est.básica,final,6.1
1,est.básica,final,6.9
1,est.básica,final,5.6
1,est.básica,final,9.6
1,est.básica,final,8.6
1,est.básica,final,7.5
1,est.básica,final,8.6
1,est.básica,final,5.9
1,est.básica,final,2.2
1,est.básica,final,9.3
1,est.básica,final,0.1
1,est.básica,final,3.1
1,est.básica,final,2.7
1,est.básica,final,6.9
1,est.básica,final,5.5
1,est.básica,final,7.3
1,est.básica,final,6
1,est.básica,final,6.4
1,est.básica,final,3.2
1,est.básica,final,0.1
1,est.básica,final,6.4
1,est.básica,final,0.1
1,est.básica,final,1.8
1,est.básica,final,0.1
1,est.básica,final,0.1
1,est.básica,final,8.2
1,est.básica,final,1.8
1,est.básica,final,9.2
1,est.básica,final,6.1
1,est.básica,final,6.2
1,est.básica,final,9.4
1,est.básica,final,9.5
1,est.básica,final,7.2
1,est.básica,final,6.7
1,est.básica,final,2.9
1,est.básica,final,1.1
1,est.básica,final,6
1,est.básica,final,5.5
1,est.básica,final,5.7
1,est.básica,final,9.7
1,est.básica,final,7.2
1,função,final,4.7
1,função,final,4.8
1,função,final,2.4
1,função,final,9
1,função,final,8.2
1,função,final,2.4
1,função,final,6.2
1,função,final,1.5
1,função,final,1
1,função,final,7.7
1,função,final,1.4
1,função,final,2.2
1,função,final,5.9
1,função,final,1.3
1,função,final,6.4
1,função,final,5.5
1,função,final,1.5
1,função,final,1.2
1,função,final,4.4
1,função,final,5.1
1,função,final,9.1
1,função,final,1.9
1,função,final,8.6
1,função,final,3.3
1,função,final,9.8
1,função,final,2
1,função,final,2.2
1,função,final,0.7
1,função,final,0.9
1,função,final,3.5
1,função,final,2.2
1,função,final,9.4
1,função,final,3.7
1,função,final,1.9
2,calculo-1,3,2.7
2,calculo-1,3,0
2,calculo-1,3,0
2,calculo-1,3,3.5
2,calculo-1,3,5.5
2,calculo-1,3,8.5
2,calculo-1,3,6
2,calculo-1,3,8.5
2,calculo-1,3,2
2,calculo-1,3,4.2
2,calculo-1,3,8.5
2,calculo-1,3,0.5
2,calculo-1,3,5.5
2,calculo-1,3,1.5
2,calculo-1,3,0
2,calculo-1,3,7.5
2,calculo-1,3,2.5
2,calculo-1,3,7.5
2,calculo-1,3,3.5
2,calculo-1,3,8
2,calculo-1,3,2.5
2,calculo-1,final,3.1
2,calculo-1,final,0.8
2,calculo-1,final,0
2,calculo-1,final,0
2,calculo-1,final,5.7
2,calculo-1,final,0
2,calculo-1,final,8.1
2,calculo-1,final,0
2,calculo-1,final,6
2,calculo-1,final,0
2,calculo-1,final,9
2,calculo-1,final,0
2,calculo-1,final,0.3
2,calculo-1,final,0
2,calculo-1,final,0
2,calculo-1,final,5.3
2,calculo-1,final,0
2,calculo-1,final,0
2,calculo-1,final,6.9
2,calculo-1,final,0.6
2,calculo-1,final,0.8
2,calculo-1,final,2.1
2,calculo-1,final,0
2,calculo-1,final,0
2,calculo-1,final,0
2,calculo-1,final,0
2,calculo-1,final,5.7
2,calculo-1,final,0.6
2,calculo-1,final,3.3
2,calculo-1,final,6.3
2,calculo-1,final,0.8
2,calculo-1,final,0
2,calculo-1,final,0.2
2,calculo-1,final,5.8
2,calculo-1,final,3.6
2,calculo-1,final,0
2,calculo-1,final,0
2,calculo-1,final,0.8
2,calculo-1,final,0
2,calculo-1,final,0
2,calculo-1,final,0
2,calculo-1,final,0
2,calculo-1,final,0
2,calculo-1,final,9.3
2,calculo-1,final,2.8
2,calculo-1,final,7.5
2,calculo-1,final,0
2,calculo-1,final,1.8
2,calculo-1,final,0.2
2,calculo-1,final,0
2,calculo-1,final,2.3
2,calculo-1,final,4
2,calculo-1,final,0.2
2,calculo-1,final,9.5
2,calculo-1,final,2.8
2,calculo-1,final,0
2,calculo-1,final,0.5
2,calculo-1,final,0
2,est.computacional,1,4.1
2,est.computacional,1,4.1
2,est.computacional,1,5
2,est.computacional,1,5.8
2,est.computacional,1,5.7
2,est.computacional,1,5.1
2,est.computacional,1,3.3
2,est.computacional,1,8.6
2,est.computacional,1,4
2,est.computacional,1,3.8
2,est.computacional,1,6.3
2,est.computacional,1,5.6
2,est.computacional,1,3.1
2,est.computacional,1,4.3
2,est.computacional,1,4.7
2,est.computacional,1,8.7
2,est.computacional,1,7.2
2,est.computacional,1,8
2,est.computacional,1,3
2,est.computacional,1,3.9
2,est.computacional,1,6.5
2,est.computacional,1,4.1
2,est.computacional,1,8.8
2,est.computacional,1,8.7
2,est.computacional,1,3.7
2,est.computacional,1,3.6
2,est.computacional,1,4.7
2,est.computacional,1,6.7
2,est.computacional,1,8.1
2,est.computacional,1,6
2,est.computacional,1,4
2,est.computacional,1,6.3
2,est.computacional,2,5.8
2,est.computacional,2,9.4
2,est.computacional,2,5.5
2,est.computacional,2,7.3
2,est.computacional,2,2.1
2,est.computacional,2,5.9
2,est.computacional,2,6.5
2,est.computacional,2,10
2,est.computacional,2,6.3
2,est.computacional,2,7
2,est.computacional,2,2.1
2,est.computacional,2,7.4
2,est.computacional,2,7.2
2,est.computacional,2,5.8
2,est.computacional,2,8.3
2,est.computacional,2,6
2,est.computacional,2,4.1
2,est.computacional,2,6.8
2,est.computacional,2,8.7
2,est.computacional,2,8.9
2,est.computacional,2,7.2
2,est.computacional,2,8.1
2,est.computacional,2,7.6
2,est.computacional,2,7.1
2,est.computacional,2,8.4
2,est.computacional,2,4.1
2,est.computacional,final,5.8
2,est.computacional,final,6.8
2,est.computacional,final,0
2,est.computacional,final,6.3
2,est.computacional,final,2.9
2,est.computacional,final,0
2,est.computacional,final,7
2,est.computacional,final,4.4
2,est.computacional,final,6.3
2,est.computacional,final,5.5
2,est.computacional,final,0
2,est.computacional,final,9.1
2,est.computacional,final,0
2,est.computacional,final,2
2,est.computacional,final,1.9
2,est.computacional,final,0
2,est.computacional,final,0
2,est.computacional,final,7
2,est.computacional,final,6.8
2,est.computacional,final,3.8
2,est.computacional,final,4.7
2,est.computacional,final,0
2,est.computacional,final,6.2
2,est.computacional,final,8.6
2,est.computacional,final,7.4
2,est.computacional,final,0
2,est.computacional,final,8.3
2,est.computacional,final,5.3
2,est.computacional,final,3
2,est.computacional,final,7.4
2,est.computacional,final,2.1
2,est.computacional,final,0
2,est.computacional,final,0
2,est.computacional,final,8.9
2,est.computacional,final,0
2,est.computacional,final,8.8
2,est.computacional,final,5.7
2,est.computacional,final,0
2,est.computacional,final,1.8
2,est.computacional,final,2.3
2,est.computacional,final,7.7
2,est.computacional,final,0
2,est.computacional,final,8.3
2,est.computacional,final,7.1
2,est.computacional,final,6.4
2,est.computacional,final,6.6
1,est.básica,1,5.3
1,est.básica,1,6.9
1,est.básica,1,0.9
1,est.básica,1,10
1,est.básica,1,8.7
1,est.básica,1,6.5
1,est.básica,1,8.6
1,est.básica,1,6.9
1,est.básica,1,3.5
1,est.básica,1,9.4
1,est.básica,1,1
1,est.básica,1,0.3
1,est.básica,1,5.7
